Block,Train_DS,Test_DS,Layer_ID,Layer_Pos,Probe,AUROC,AUPRC,F1,Opt-F1
Cross-DS (stealthy->advbench),stealthy,advbench,11,2,MLP Probe,1.0,1.0,0.9774,1.0
Cross-DS (stealthy->advbench),stealthy,advbench,16,3,Linear Probe,1.0,1.0,1.0,1.0
Cross-DS (stealthy->advbench),stealthy,advbench,16,3,MLP Probe,1.0,1.0,1.0,1.0
Cross-DS (stealthy->advbench),stealthy,advbench,21,4,Linear Probe,1.0,1.0,0.9794,1.0
Cross-DS (stealthy->advbench),stealthy,advbench,21,4,MLP Probe,0.9888,0.9926,0.9744,0.9844
Cross-DS (stealthy->injecagent),stealthy,injecagent,0,0,Linear Probe,0.5004,0.5021,0.6667,0.6669
Cross-DS (stealthy->injecagent),stealthy,injecagent,0,0,MLP Probe,0.4995,0.5,0.6667,0.6667
Cross-DS (stealthy->injecagent),stealthy,injecagent,5,1,Linear Probe,0.5,0.5008,0.0,0.6667
Cross-DS (stealthy->injecagent),stealthy,injecagent,5,1,MLP Probe,0.4995,0.5006,0.1389,0.6667
Cross-DS (stealthy->injecagent),stealthy,injecagent,11,2,Linear Probe,0.5,0.5013,0.1917,0.6669
Cross-DS (stealthy->injecagent),stealthy,injecagent,11,2,MLP Probe,0.5,0.501,0.2849,0.6669
Cross-DS (stealthy->injecagent),stealthy,injecagent,16,3,Linear Probe,0.4996,0.499,0.6667,0.6669
Cross-DS (stealthy->injecagent),stealthy,injecagent,16,3,MLP Probe,0.4995,0.5,0.6667,0.6667
Cross-DS (stealthy->injecagent),stealthy,injecagent,21,4,Linear Probe,0.5006,0.5039,0.6667,0.6669
Cross-DS (stealthy->injecagent),stealthy,injecagent,21,4,MLP Probe,0.4995,0.5,0.6667,0.6667
